ref_pos_x,ref_pos_y,height,anchor_id,range
8.0,1.3,0.7,0,-1.0886525908714182
8.0,1.3,0.7,0,-0.3858834059507803
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,-0.17424769990081135
8.0,1.3,0.7,0,0.43259426375652144
8.0,1.3,0.7,0,-0.23224860391563684
8.0,1.3,0.7,0,-0.31758264996279273
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,0.0567067704483879
8.0,1.3,0.7,0,0.2781207686734106
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,21.3115337969437
8.0,1.3,0.7,0,-0.25330455968207666
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,-0.1275885292084924
8.0,1.3,0.7,0,-0.061928681791806106
8.0,1.3,0.7,0,0.01852551121614976
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,-0.246361774482315
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,-0.020109053431341728
8.0,1.3,0.7,0,-0.8402071463572911
8.0,1.3,0.7,0,-0.2760910365846243
8.0,1.3,0.7,0,-0.06709519245988638
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,0.1306449369272542
8.0,1.3,0.7,0,-0.19244002415574535
8.0,1.3,0.7,0,-0.02119167825730983
8.0,1.3,0.7,0,0.05589690981226525
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,-0.4712219290636259
8.0,1.3,0.7,0,0.5150714742937632
8.0,1.3,0.7,0,-0.02874652506298414
8.0,1.3,0.7,0,0.03716163853629251
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,0.49560510453627593
8.0,1.3,0.7,0,0.011436391370216903
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,-0.260558655102332
8.0,1.3,0.7,0,-0.31868692007472
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,-0.2439476061801118
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,8.664314841799685
8.0,1.3,0.7,0,0.2740253992124213
8.0,1.3,0.7,0,0.35753188153896076
8.0,1.3,0.7,0,-0.04159483605161185
8.0,1.3,0.7,0,0.9860632118509551
8.0,1.3,0.7,0,0.8188424972359458
8.0,1.3,0.7,0,0.6351274788999142
8.0,1.3,0.7,0,-0.31845161079003237
8.0,1.3,0.7,0,-0.33531182446857244
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,-0.17440685603247008
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,-0.3269823596544468
8.0,1.3,0.7,0,0.2256756779800373
8.0,1.3,0.7,0,0.39033347364105087
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,-1.9008395840586365
8.0,1.3,0.7,0,-0.2801854381482336
8.0,1.3,0.7,0,-0.7937901691175453
8.0,1.3,0.7,0,-0.8314427188313758
8.0,1.3,0.7,0,-0.3269423813037715
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,0.1633523089680189
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,-0.06931227369749315
8.0,1.3,0.7,0,-0.2633362793587759
8.0,1.3,0.7,0,-0.36372453713756325
8.0,1.3,0.7,0,-0.6113343167791623
8.0,1.3,0.7,0,0.14570403246471741
8.0,1.3,0.7,0,0.7618009311045268
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,-0.6459947093933991
8.0,1.3,0.7,0,0.4921380740145054
8.0,1.3,0.7,0,-0.4200685208662698
8.0,1.3,0.7,0,-0.8973364595831006
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,-0.719680458027887
8.0,1.3,0.7,0,-0.15970018680821862
8.0,1.3,0.7,0,0.656270379573173
8.0,1.3,0.7,0,-0.1651365644377103
8.0,1.3,0.7,0,0.13797377632750596
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,-0.31217932275807314
8.0,1.3,0.7,0,-0.502505565963868
8.0,1.3,0.7,0,-0.7485246287167389
8.0,1.3,0.7,0,0.4185140383447097
8.0,1.3,0.7,0,-0.7288710709290616
8.0,1.3,0.7,0,-0.3683355411904081
8.0,1.3,0.7,0,-0.33918944822409625
8.0,1.3,0.7,0,-0.18648388413161499
8.0,1.3,0.7,0,-0.5704114286402868
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,-0.487029944215271
8.0,1.3,0.7,0,-0.19337242764598628
8.0,1.3,0.7,0,0.38637378070872774
8.0,1.3,0.7,0,-1.097771744940287
8.0,1.3,0.7,0,-0.1929505627290009
8.0,1.3,0.7,0,-0.8207073423084292
8.0,1.3,0.7,0,-0.6612081789373621
8.0,1.3,0.7,0,0.043387848808285945
8.0,1.3,0.7,0,-1.2068115684390728
8.0,1.3,0.7,0,20.280778171820117
8.0,1.3,0.7,0,6.764570459172855
8.0,1.3,0.7,0,0.08942715818873381
8.0,1.3,0.7,0,0.9690878965690208
8.0,1.3,0.7,0,0.6243658380699229
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,-0.23973039157079512
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,1.6715873289442245
8.0,1.3,0.7,0,1.269187748324856
8.0,1.3,0.7,0,-0.7242762034441972
8.0,1.3,0.7,0,17.094737520542864
8.0,1.3,0.7,0,0.5028616675984647
8.0,1.3,0.7,0,0.06040225827904422
8.0,1.3,0.7,0,0.21859400012704988
8.0,1.3,0.7,0,-0.5213548103411068
8.0,1.3,0.7,0,-0.7870969661708589
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,-0.015302845794050057
8.0,1.3,0.7,0,-0.42371755449828896
8.0,1.3,0.7,0,-1.172476033948218
8.0,1.3,0.7,0,-0.2381342473098682
8.0,1.3,0.7,0,-0.603230927348422
8.0,1.3,0.7,0,12.68751571973927
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,-0.08027287723802257
8.0,1.3,0.7,0,-0.43806573173722985
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,0.02074417219488467
8.0,1.3,0.7,0,0.040356670431881625
8.0,1.3,0.7,0,-0.6762672416550579
8.0,1.3,0.7,0,-0.09914197394295421
8.0,1.3,0.7,0,13.068229371953958
8.0,1.3,0.7,0,-0.026936790647255293
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,-0.6807941496642673
8.0,1.3,0.7,0,16.565962974686595
8.0,1.3,0.7,0,-0.1893421065013774
8.0,1.3,0.7,0,-0.4383936690951744
8.0,1.3,0.7,0,0.2961794488909524
8.0,1.3,0.7,0,-0.6756539153079109
8.0,1.3,0.7,0,-2.978847338398103
8.0,1.3,0.7,0,-1.4887777384630265
8.0,1.3,0.7,0,-0.5327658928407164
8.0,1.3,0.7,0,0.014939103996550074
8.0,1.3,0.7,0,-0.3247449211288327
8.0,1.3,0.7,0,-0.4559149087044956
8.0,1.3,0.7,0,-0.40953506873044176
8.0,1.3,0.7,0,-0.10403071747172365
8.0,1.3,0.7,0,0.06187999287003443
8.0,1.3,0.7,0,0.0007256226324932058
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,-0.3469330894055247
8.0,1.3,0.7,0,1.0510692872742613
8.0,1.3,0.7,0,-0.49452014500125596
8.0,1.3,0.7,0,0.18161972616454758
8.0,1.3,0.7,0,8.60571215613186
8.0,1.3,0.7,0,-0.2329415475279326
8.0,1.3,0.7,0,19.78804162242022
8.0,1.3,0.7,0,1.023722798159401
8.0,1.3,0.7,0,-0.26263849953537477
8.0,1.3,0.7,0,0.07094128225651719
8.0,1.3,0.7,0,0.4090671572968434
8.0,1.3,0.7,0,-0.15742240085495407
8.0,1.3,0.7,0,0.2234680399287372
8.0,1.3,0.7,0,20.626401907296795
8.0,1.3,0.7,0,1.580323354191175
8.0,1.3,0.7,0,6.33248128899934
8.0,1.3,0.7,0,-0.12903812223963484
8.0,1.3,0.7,0,-0.584360341464313
8.0,1.3,0.7,0,-0.3375399762355462
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,-0.6332012074197033
8.0,1.3,0.7,0,-0.4946785227152217
8.0,1.3,0.7,0,0.9381293524153991
8.0,1.3,0.7,0,-0.17692470420458228
8.0,1.3,0.7,0,-0.5137230175694958
8.0,1.3,0.7,0,-0.32509849910087407
8.0,1.3,0.7,0,0.1925345038820394
8.0,1.3,0.7,0,0.1211646568193343
8.0,1.3,0.7,0,-1.0356417165438714
8.0,1.3,0.7,0,2.0629276568067887
8.0,1.3,0.7,0,-0.6173853496901218
8.0,1.3,0.7,0,-0.5932760560930346
8.0,1.3,0.7,0,-0.20345102976071683
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,0.7378949971111721
8.0,1.3,0.7,0,-1.0436392800978656
8.0,1.3,0.7,0,0.18213279365887658
8.0,1.3,0.7,0,-0.19995609720096663
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,0.5196385743124265
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,0.16715358524479562
8.0,1.3,0.7,0,0.6336932674458682
8.0,1.3,0.7,0,-3.411148065781947
8.0,1.3,0.7,0,14.030859793473315
8.0,1.3,0.7,0,-0.5764406068881378
8.0,1.3,0.7,0,-0.007802587822411944
8.0,1.3,0.7,0,-4.750825675567625
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,-0.6731811340341167
8.0,1.3,0.7,0,-1.9105322853794924
8.0,1.3,0.7,0,-0.6353749243682598
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,0.8037109868237451
8.0,1.3,0.7,0,0.6970256150211283
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,-0.7442651628529839
8.0,1.3,0.7,0,0.32692838046450046
8.0,1.3,0.7,0,-0.636175922375239
8.0,1.3,0.7,0,-0.20250029346877163
8.0,1.3,0.7,0,6.517746496354755
8.0,1.3,0.7,0,0.33189072347255344
8.0,1.3,0.7,0,-0.20191782024662697
8.0,1.3,0.7,0,1.0243698584517507
8.0,1.3,0.7,0,0.5594564948931211
8.0,1.3,0.7,0,1.2386751122593882
8.0,1.3,0.7,0,-0.6105492639717864
8.0,1.3,0.7,0,0.9317377364159531
8.0,1.3,0.7,0,-0.8976645039564355
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,-1.1632813619137972
8.0,1.3,0.7,0,-0.57371129590131
8.0,1.3,0.7,0,0.7742221317278482
8.0,1.3,0.7,0,2.003252064018353
8.0,1.3,0.7,0,0.6982963284021046
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,0.444568083472074
8.0,1.3,0.7,0,-0.4624127828130895
8.0,1.3,0.7,0,-0.12578704971680832
8.0,1.3,0.7,0,-0.11710888912870399
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,-0.903175458871555
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,0.7738217483130505
8.0,1.3,0.7,0,-0.2766878691794563
8.0,1.3,0.7,0,-0.2206724734933001
8.0,1.3,0.7,0,0.20769044391071123
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,0.3036556248051765
8.0,1.3,0.7,0,-0.11360313145273881
8.0,1.3,0.7,0,-0.5332900074817779
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,1.0279733911000015
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,1.1170238335605829
8.0,1.3,0.7,0,0.8628847511362441
8.0,1.3,0.7,0,11.910474882706708
8.0,1.3,0.7,0,0.4830336348994084
8.0,1.3,0.7,0,inf
8.0,1.3,0.7,0,1.202954011014377
